insert into Recipe_tbl (user_id, category_id, name, serving, instruction, prepare_time, cook_time, liked_count, saved_count, created_date, last_modified, is_actived, is_hidden) values (1, 4, 'Andros Mangeney', 5, 'Suppr lactation-deliver', 83, 89, 782, 141, '2022/08/31', '2022/07/26', true, false);
insert into Recipe_tbl (user_id, category_id, name, serving, instruction, prepare_time, cook_time, liked_count, saved_count, created_date, last_modified, is_actived, is_hidden) values (12, 2, 'Clementia Lerer', 19, 'Recur manic-sev w psycho', 51, 14, 795, 592, '2021/12/14', '2021/10/02', true, false);
insert into Recipe_tbl (user_id, category_id, name, serving, instruction, prepare_time, cook_time, liked_count, saved_count, created_date, last_modified, is_actived, is_hidden) values (13, 10, 'Arvy Tomkys', 6, 'Gonococcal endophthalmia', 34, 29, 668, 508, '2022/08/09', '2022/05/08', true, false);
insert into Recipe_tbl (user_id, category_id, name, serving, instruction, prepare_time, cook_time, liked_count, saved_count, created_date, last_modified, is_actived, is_hidden) values (14, 8, 'Fidelity Guerriero', 10, 'Chr pulmon heart dis NEC', 10, 61, 52, 417, '2022/05/03', '2022/03/23', true, false);
insert into Recipe_tbl (user_id, category_id, name, serving, instruction, prepare_time, cook_time, liked_count, saved_count, created_date, last_modified, is_actived, is_hidden) values (15, 14, 'Sanford Keener', 16, 'Conjunctiva disorder NEC', 62, 54, 648, 322, '2022/03/14', '2022/08/24', true, false);
insert into Recipe_tbl (user_id, category_id, name, serving, instruction, prepare_time, cook_time, liked_count, saved_count, created_date, last_modified, is_actived, is_hidden) values (16, 19, 'Edward Tinman', 19, 'Postvaricella myelitis', 75, 30, 457, 315, '2022/08/06', '2022/04/09', true, false);
insert into Recipe_tbl (user_id, category_id, name, serving, instruction, prepare_time, cook_time, liked_count, saved_count, created_date, last_modified, is_actived, is_hidden) values (17, 4, 'Base Hechlin', 5, 'TB meningitis-unspec', 59, 58, 157, 656, '2022/01/09', '2022/01/12', true, false);
insert into Recipe_tbl (user_id, category_id, name, serving, instruction, prepare_time, cook_time, liked_count, saved_count, created_date, last_modified, is_actived, is_hidden) values (18, 7, 'Brooke Patsall', 19, 'Loc osteoarth NOS-up/arm', 99, 35, 787, 431, '2022/01/02', '2022/04/26', true, false);
insert into Recipe_tbl (user_id, category_id, name, serving, instruction, prepare_time, cook_time, liked_count, saved_count, created_date, last_modified, is_actived, is_hidden) values (19, 18, 'Cesar Wyburn', 17, 'Chr passiv congest liver', 67, 27, 529, 263, '2021/10/31', '2021/11/28', true, false);
insert into Recipe_tbl (user_id, category_id, name, serving, instruction, prepare_time, cook_time, liked_count, saved_count, created_date, last_modified, is_actived, is_hidden) values (20, 19, 'Michael Hedney', 17, '1st deg burn toe', 91, 38, 370, 160, '2022/08/18', '2021/10/31', true, false);
insert into Recipe_tbl (user_id, category_id, name, serving, instruction, prepare_time, cook_time, liked_count, saved_count, created_date, last_modified, is_actived, is_hidden) values (21, 19, 'Titos Betho', 15, 'Orthopnea', 36, 59, 290, 504, '2021/10/31', '2022/02/02', true, false);
insert into Recipe_tbl (user_id, category_id, name, serving, instruction, prepare_time, cook_time, liked_count, saved_count, created_date, last_modified, is_actived, is_hidden) values (22, 8, 'Lorelle Gateland', 20, 'Effects of hunger', 13, 54, 529, 494, '2022/03/11', '2022/06/22', true, false);
insert into Recipe_tbl (user_id, category_id, name, serving, instruction, prepare_time, cook_time, liked_count, saved_count, created_date, last_modified, is_actived, is_hidden) values (23, 20, 'Else Deave', 12, 'Toxic effect beryllium', 38, 81, 220, 356, '2022/05/09', '2022/02/17', true, false);
insert into Recipe_tbl (user_id, category_id, name, serving, instruction, prepare_time, cook_time, liked_count, saved_count, created_date, last_modified, is_actived, is_hidden) values (24, 16, 'Bethina Dun', 18, 'Simple schizophren-chr', 44, 65, 321, 38, '2022/02/08', '2022/05/27', true, false);
insert into Recipe_tbl (user_id, category_id, name, serving, instruction, prepare_time, cook_time, liked_count, saved_count, created_date, last_modified, is_actived, is_hidden) values (25, 7, 'Adler Abramzon', 5, 'Opn skl/oth fx-prol coma', 80, 92, 722, 631, '2021/11/24', '2022/01/20', true, false);
insert into Recipe_tbl (user_id, category_id, name, serving, instruction, prepare_time, cook_time, liked_count, saved_count, created_date, last_modified, is_actived, is_hidden) values (26, 6, 'Aeriell Carlesi', 2, 'Opn skul vlt fx-brf coma', 56, 61, 484, 297, '2021/10/31', '2022/09/15', true, false);
insert into Recipe_tbl (user_id, category_id, name, serving, instruction, prepare_time, cook_time, liked_count, saved_count, created_date, last_modified, is_actived, is_hidden) values (27, 9, 'Dulcine Ormiston', 11, 'Dysphagia, pharyngeal', 58, 68, 85, 422, '2021/11/04', '2022/03/09', true, false);
insert into Recipe_tbl (user_id, category_id, name, serving, instruction, prepare_time, cook_time, liked_count, saved_count, created_date, last_modified, is_actived, is_hidden) values (28, 20, 'Cynthea Jacobson', 12, 'Aftrcare path fx up leg', 69, 10, 392, 521, '2021/12/19', '2022/03/14', true, false);
insert into Recipe_tbl (user_id, category_id, name, serving, instruction, prepare_time, cook_time, liked_count, saved_count, created_date, last_modified, is_actived, is_hidden) values (29, 15, 'Felix Magowan', 18, 'Scrn intellect disabilty', 24, 84, 764, 208, '2022/04/20', '2022/07/09', true, false);
insert into Recipe_tbl (user_id, category_id, name, serving, instruction, prepare_time, cook_time, liked_count, saved_count, created_date, last_modified, is_actived, is_hidden) values (30, 20, 'Amil Mitchener', 17, 'Chronic laryngitis', 88, 34, 632, 394, '2022/04/17', '2021/10/29', true, false);
insert into Recipe_tbl (user_id, category_id, name, serving, instruction, prepare_time, cook_time, liked_count, saved_count, created_date, last_modified, is_actived, is_hidden) values (31, 17, 'Baily Koop', 8, 'Glaucoma w systemic synd', 75, 84, 66, 139, '2022/06/25', '2022/01/04', true, false);
insert into Recipe_tbl (user_id, category_id, name, serving, instruction, prepare_time, cook_time, liked_count, saved_count, created_date, last_modified, is_actived, is_hidden) values (32, 5, 'Thaddus Pizey', 6, 'Infect dis NEC-delivered', 37, 71, 66, 557, '2021/11/27', '2022/07/26', true, false);
insert into Recipe_tbl (user_id, category_id, name, serving, instruction, prepare_time, cook_time, liked_count, saved_count, created_date, last_modified, is_actived, is_hidden) values (33, 2, 'Derek Loffill', 17, 'Neonatal bradycardia', 19, 78, 226, 531, '2022/01/02', '2021/12/02', true, false);
insert into Recipe_tbl (user_id, category_id, name, serving, instruction, prepare_time, cook_time, liked_count, saved_count, created_date, last_modified, is_actived, is_hidden) values (34, 11, 'Durant Noad', 20, 'Extreme immat 1000-1249g', 88, 49, 86, 67, '2021/11/28', '2021/12/19', true, false);
insert into Recipe_tbl (user_id, category_id, name, serving, instruction, prepare_time, cook_time, liked_count, saved_count, created_date, last_modified, is_actived, is_hidden) values (35, 15, 'Shaylyn Sancroft', 1, 'Protein defic anemia', 16, 14, 125, 241, '2022/05/30', '2022/08/25', true, false);
insert into Recipe_tbl (user_id, category_id, name, serving, instruction, prepare_time, cook_time, liked_count, saved_count, created_date, last_modified, is_actived, is_hidden) values (36, 17, 'Abbe Dumblton', 20, 'Anomalies of uterus NEC', 18, 79, 721, 622, '2022/05/12', '2022/02/07', true, false);
insert into Recipe_tbl (user_id, category_id, name, serving, instruction, prepare_time, cook_time, liked_count, saved_count, created_date, last_modified, is_actived, is_hidden) values (37, 8, 'Abran Caesman', 6, 'Lordosis in oth dis', 50, 72, 84, 213, '2022/06/01', '2022/05/14', true, false);
insert into Recipe_tbl (user_id, category_id, name, serving, instruction, prepare_time, cook_time, liked_count, saved_count, created_date, last_modified, is_actived, is_hidden) values (38, 4, 'Frederica Cearley', 13, 'Ankylosis-upper/arm', 16, 42, 796, 375, '2022/02/02', '2022/05/05', true, false);
insert into Recipe_tbl (user_id, category_id, name, serving, instruction, prepare_time, cook_time, liked_count, saved_count, created_date, last_modified, is_actived, is_hidden) values (39, 16, 'Heriberto Tranter', 10, 'Situs inversus', 56, 43, 85, 259, '2021/10/17', '2022/04/08', true, false);
insert into Recipe_tbl (user_id, category_id, name, serving, instruction, prepare_time, cook_time, liked_count, saved_count, created_date, last_modified, is_actived, is_hidden) values (40, 18, 'Milissent Onians', 15, 'Reading disorder NOS', 50, 42, 282, 690, '2021/12/11', '2022/09/03', true, false);
insert into Recipe_tbl (user_id, category_id, name, serving, instruction, prepare_time, cook_time, liked_count, saved_count, created_date, last_modified, is_actived, is_hidden) values (41, 12, 'Zabrina Adamthwaite', 19, 'Rheumatic heart failure', 20, 78, 755, 104, '2022/03/17', '2022/02/10', true, false);
insert into Recipe_tbl (user_id, category_id, name, serving, instruction, prepare_time, cook_time, liked_count, saved_count, created_date, last_modified, is_actived, is_hidden) values (42, 9, 'Lucius Alphege', 3, 'Ganglion NOS', 26, 55, 248, 119, '2022/05/16', '2022/04/16', true, false);
insert into Recipe_tbl (user_id, category_id, name, serving, instruction, prepare_time, cook_time, liked_count, saved_count, created_date, last_modified, is_actived, is_hidden) values (43, 12, 'Haroun Sivorn', 13, 'TB thorax node-cult dx', 68, 30, 198, 236, '2022/08/15', '2022/06/27', true, false);
insert into Recipe_tbl (user_id, category_id, name, serving, instruction, prepare_time, cook_time, liked_count, saved_count, created_date, last_modified, is_actived, is_hidden) values (44, 1, 'Cathy Pawlicki', 12, 'Herpes zoster of eyelid', 32, 21, 693, 446, '2022/02/25', '2022/04/15', true, false);
insert into Recipe_tbl (user_id, category_id, name, serving, instruction, prepare_time, cook_time, liked_count, saved_count, created_date, last_modified, is_actived, is_hidden) values (45, 12, 'Fraser Isson', 5, 'Illeg ab w embolism-comp', 43, 83, 163, 641, '2022/03/09', '2022/08/27', true, false);
insert into Recipe_tbl (user_id, category_id, name, serving, instruction, prepare_time, cook_time, liked_count, saved_count, created_date, last_modified, is_actived, is_hidden) values (46, 20, 'Hymie Flanner', 10, 'Herpangina', 56, 38, 533, 43, '2022/07/29', '2022/04/18', true, false);
insert into Recipe_tbl (user_id, category_id, name, serving, instruction, prepare_time, cook_time, liked_count, saved_count, created_date, last_modified, is_actived, is_hidden) values (47, 17, 'Myriam Anan', 3, 'Hx of past noncompliance', 54, 81, 145, 223, '2022/02/11', '2022/03/19', true, false);
insert into Recipe_tbl (user_id, category_id, name, serving, instruction, prepare_time, cook_time, liked_count, saved_count, created_date, last_modified, is_actived, is_hidden) values (48, 4, 'Avis Elce', 5, 'Scarring of conjunctiva', 76, 69, 681, 426, '2022/01/23', '2022/04/26', true, false);
insert into Recipe_tbl (user_id, category_id, name, serving, instruction, prepare_time, cook_time, liked_count, saved_count, created_date, last_modified, is_actived, is_hidden) values (49, 13, 'Livvy Scutching', 4, 'Adv eff vasodilators NEC', 29, 13, 113, 48, '2022/03/27', '2022/01/27', true, false);
insert into Recipe_tbl (user_id, category_id, name, serving, instruction, prepare_time, cook_time, liked_count, saved_count, created_date, last_modified, is_actived, is_hidden) values (50, 10, 'Johnathan Dovidian', 5, 'Cereb degeneration NEC', 38, 33, 162, 218, '2022/09/10', '2022/06/16', true, false);
